City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rongcheng,30.634,117.8517,50.27,86,91,3.78,CN,1615301897
tsumeb,-19.2333,17.7167,84.2,34,40,5.75,NA,1615301897
talnakh,69.4865,88.3972,-17.27,87,100,4.99,RU,1615301898
muzhi,65.3667,64.6667,-24.84,82,24,5.79,RU,1615301898
keti bandar,24.1447,67.4497,74.23,76,0,9.4,PK,1615301898
sistranda,63.7256,8.834,35.6,87,75,12.66,NO,1615301898
elizabeth city,36.2946,-76.2511,55.99,54,1,9.22,US,1615301738
husavik,66.0449,-17.3389,35.6,75,75,6.91,IS,1615301832
namibe,-15.1961,12.1522,82.4,65,40,20.71,AO,1615301899
guerrero negro,27.9769,-114.0611,58.33,76,100,16.46,MX,1615301899
chumikan,54.7183,135.315,11.59,92,0,9.98,RU,1615301899
juneau,58.3019,-134.4197,19.4,86,1,4.76,US,1615301900
asosa,10.0667,34.5333,87.39,15,64,3.91,ET,1615301900
masingbi,8.7833,-11.95,100.02,33,59,3.24,SL,1615301900
saint george,37.1041,-113.5841,48.99,36,1,5.75,US,1615301804
chara,56.9064,118.2631,8.2,84,100,2.73,RU,1615301901
nemuro,43.3236,145.575,32.85,94,0,18.97,JP,1615301901
sao miguel,-5.4667,-35.3667,87.8,58,40,13.8,BR,1615301604
nalut,30.3333,10.85,74.73,20,0,4.83,LY,1615301902
cairns,-16.9167,145.7667,78.8,78,90,4.61,AU,1615301714
verkhnyaya inta,65.9811,60.3094,-14.37,89,100,7.78,RU,1615301902
gat,31.61,34.7642,73.0,52,8,3.0,IL,1615301902
saskylakh,71.9167,114.0833,-26.61,85,52,2.3,RU,1615301902
padang,-0.9492,100.3543,73.4,100,75,4.81,ID,1615301902
kovdor,67.5662,30.4758,6.04,94,71,3.0,RU,1615301903
am timan,11.0297,20.2827,105.62,7,0,4.32,TD,1615301903
stargard szczecinski,53.3367,15.0499,42.01,38,0,3.44,PL,1615301903
luderitz,-26.6481,15.1594,70.05,55,0,11.39,NA,1615301903
krasnoselkup,65.7,82.4667,-25.98,85,49,9.8,RU,1615301904
saint anthony,45.0205,-93.218,51.8,54,40,11.5,US,1615301904
bonavista,48.6499,-53.1147,28.99,74,100,8.05,CA,1615301904
lasa,46.6166,10.7002,55.4,56,40,5.75,IT,1615301904
vila,42.0304,-8.1588,57.99,43,87,5.01,PT,1615301905
port hardy,50.6996,-127.4199,41.0,87,75,10.36,CA,1615301905
faya,18.3851,42.4509,75.2,46,20,9.22,SA,1615301905
skjervoy,70.0311,20.9714,24.8,54,0,11.5,NO,1615301906
jinan,36.6683,116.9972,54.0,66,0,1.01,CN,1615301906
huangzhai,38.0751,112.6595,44.6,57,11,6.71,CN,1615301906
katherine,-14.4667,132.2667,77.0,88,75,9.22,AU,1615301907
piacabucu,-10.4056,-36.4344,87.08,54,1,12.48,BR,1615301907
inuvik,68.3499,-133.7218,-4.0,77,19,11.5,CA,1615301907
rodez,44.5,2.5833,51.01,37,0,14.97,FR,1615301908
vallenar,-28.5708,-70.7581,75.16,52,45,5.03,CL,1615301710
kosh-agach,50.0,88.6667,7.97,83,0,2.13,RU,1615301908
biltine,14.5333,20.9167,101.44,7,0,7.4,TD,1615301908
contai,21.7786,87.7536,77.4,72,0,13.35,IN,1615301908
alakurtti,66.9672,30.3491,10.0,75,53,3.0,RU,1615301909
cibitoke,-2.8833,29.25,66.54,86,100,1.68,BI,1615301909
chuchkovo,54.2693,41.4465,10.89,95,100,7.85,RU,1615301909
kenai,60.5544,-151.2583,24.01,93,90,5.75,US,1615301910
doba,8.65,16.85,106.36,10,0,4.05,TD,1615301910
komsomolskiy,40.4272,71.7189,55.4,50,97,5.55,UZ,1615301910
raga,8.4596,25.678,101.44,8,0,5.32,SS,1615301910
puerto ayacucho,5.6639,-67.6236,88.47,51,93,10.94,VE,1615301910
sernur,56.9333,49.1536,11.01,96,100,6.89,RU,1615301911
newport,51.5877,-2.9984,51.01,66,99,1.99,GB,1615301911
kamenka,51.3223,42.7678,12.58,96,99,9.75,RU,1615301911
manta,-0.95,-80.7333,77.0,83,75,3.44,EC,1615301911
chiredzi,-21.05,31.6667,86.52,45,0,7.63,ZW,1615301911
whitehorse,60.7161,-135.0538,-9.4,77,1,3.44,CA,1615301784
dingle,10.9995,122.6711,75.15,84,9,10.09,PH,1615301912
nushki,29.5542,66.0215,67.96,22,0,2.66,PK,1615301912
hokitika,-42.7167,170.9667,55.58,87,100,6.46,NZ,1615301913
shenjiamen,29.9576,122.298,50.29,86,40,7.67,CN,1615301913
quang ngai,15.1167,108.8,70.77,86,0,2.21,VN,1615301913
mumford,5.2618,-0.759,84.34,73,89,15.84,GH,1615301913
paita,-5.0892,-81.1144,75.2,94,75,4.61,PE,1615301914
opuwo,-18.0607,13.84,89.22,22,82,5.46,NA,1615301914
pareora,-44.4871,171.2132,55.99,93,100,8.28,NZ,1615301914
lompoc,34.6391,-120.4579,41.0,93,20,5.08,US,1615301914
pacific grove,36.6177,-121.9166,48.0,66,1,8.05,US,1615301914
mwanza,-2.5167,32.9,77.0,57,20,5.75,TZ,1615301914
van,38.4924,43.3831,41.0,33,40,5.75,TR,1615301915
gushikawa,26.3544,127.8686,68.0,82,20,5.75,JP,1615301915
biritiba-mirim,-23.5698,-46.0407,82.0,69,40,3.44,BR,1615301915
pangai,-19.8,-174.35,77.09,63,65,14.76,TO,1615301916
tazovskiy,67.4667,78.7,-22.76,87,97,9.08,RU,1615301916
brodokalmak,55.5748,62.082,23.0,68,20,6.71,RU,1615301916
edd,13.9297,41.6925,90.1,35,0,24.74,ER,1615301917
daru,-9.0763,143.2092,80.26,83,100,11.41,PG,1615301917
vanderhoof,54.0166,-124.0198,21.88,97,62,2.91,CA,1615301917
flin flon,54.7682,-101.865,6.8,66,75,3.44,CA,1615301918
terrasini,38.146,13.0844,66.2,52,40,14.97,IT,1615301918
coos bay,43.3665,-124.2179,42.8,81,90,11.5,US,1615301918
chalus,36.655,51.4204,48.2,93,90,6.91,IR,1615301918
uray,60.1247,64.7758,-4.45,92,61,3.94,RU,1615301919
xingtai,37.0631,114.4942,53.08,58,0,9.69,CN,1615301919
madimba,-10.4,40.3333,84.2,79,40,17.27,TZ,1615301919
ixtapa,20.7,-105.2,64.4,88,75,2.57,MX,1615301919
novobessergenevka,47.1847,38.8462,35.01,55,76,15.99,RU,1615301919
neiafu,-18.65,-173.9833,66.2,100,40,15.3,TO,1615301920
kjopsvik,68.097,16.3742,26.6,54,0,11.5,NO,1615301920
aykhal,66.0,111.5,8.35,93,100,11.18,RU,1615301763
mirabad,30.4362,61.8383,71.2,19,0,1.34,AF,1615301920
bonthe,7.5264,-12.505,86.13,62,56,12.21,SL,1615301921
cortez,37.3489,-108.5859,37.0,69,1,3.44,US,1615301921
sacramento,38.4666,-121.3177,42.8,87,75,6.91,US,1615301903
awbari,26.5921,12.7805,86.77,12,16,2.82,LY,1615301921
linjiang,41.8069,126.9078,25.95,88,0,1.23,CN,1615301922
qeshm,26.9581,56.2719,75.2,78,0,13.8,IR,1615301922
barra patuca,15.8,-84.2833,78.48,85,99,12.1,HN,1615301922
betong,5.7743,101.0723,70.07,80,49,2.51,TH,1615301922
taoudenni,22.6783,-3.9836,88.72,12,0,17.67,ML,1615301923
yeppoon,-23.1333,150.7333,73.4,78,0,3.65,AU,1615301923
pyrzyce,53.1462,14.8926,43.0,30,0,1.99,PL,1615301923
gorele,41.0308,39.0031,48.2,71,40,5.75,TR,1615301923
ashland,40.8167,-82.2665,53.01,50,1,5.75,US,1615301726
teruel,40.6667,-0.6667,53.6,49,0,12.66,ES,1615301924
santa cruz,-17.8,-63.1667,84.2,65,40,6.91,BO,1615301848
the valley,18.217,-63.0578,84.2,65,20,16.11,AI,1615301924
beyneu,45.3167,55.2,33.78,90,83,6.82,KZ,1615301924
kindu,-2.95,25.95,90.14,48,50,0.87,CD,1615301925
baruun-urt,46.6806,113.2792,25.7,94,65,8.41,MN,1615301925
tervel,43.75,27.4,48.99,76,100,4.0,BG,1615301925
aksu,41.1231,80.2644,48.61,49,41,4.43,CN,1615301925
gra liyia,35.0167,25.6833,66.0,63,10,10.92,GR,1615301926
coolum beach,-26.5333,153.1,73.0,92,0,6.82,AU,1615301926
sao paulo de olivenca,-3.3783,-68.8725,72.55,98,100,1.63,BR,1615301926
sao jose da coroa grande,-8.8978,-35.1478,84.52,68,40,10.33,BR,1615301922
shingu,33.7333,135.9833,50.86,84,75,6.29,JP,1615301926
teknaf,20.8624,92.3058,73.83,88,0,7.63,BD,1615301927
mayo,38.8876,-76.5119,55.99,34,75,3.44,US,1615301927
araceli,10.5529,119.9913,82.33,74,25,23.71,PH,1615301927
kolomna,55.0794,38.7783,12.2,57,20,15.66,RU,1615301927
kushmurun,52.4503,64.6311,20.5,97,100,14.2,KZ,1615301928
bacolod,10.6667,122.95,77.83,78,12,13.44,PH,1615301823
naze,28.3667,129.4833,61.14,88,17,15.97,JP,1615301928
kirakira,-10.4544,161.9205,79.45,79,85,2.35,SB,1615301928
quatre cocos,-20.2078,57.7625,82.4,74,40,5.75,MU,1615301928
zalantun,48.0,122.7167,20.93,81,0,3.96,CN,1615301929
chapais,49.7834,-74.8492,21.2,93,90,9.22,CA,1615301929
atar,20.5169,-13.0499,81.88,19,10,17.58,MR,1615301929
gamba,-2.65,10.0,83.79,74,20,10.16,GA,1615301929
zhezkazgan,47.8043,67.7144,19.4,93,90,13.42,KZ,1615301930
talaya,61.3833,152.75,-22.81,77,0,1.36,RU,1615301930
manokwari,-0.8667,134.0833,78.04,79,100,2.91,ID,1615301930
ofunato,39.0717,141.7167,40.71,82,100,6.71,JP,1615301931
liverpool,53.4106,-2.9779,51.8,71,90,10.36,GB,1615301931
portland,45.5234,-122.6762,41.0,88,100,1.01,US,1615301264
meridian,43.6121,-116.3915,30.2,100,20,4.61,US,1615301931
onega,63.9061,38.1404,-6.57,91,72,5.82,RU,1615301931
tottori,35.5,134.2333,44.17,76,100,2.46,JP,1615301932
poya,-21.35,165.15,72.81,84,3,3.98,NC,1615301932
marsa matruh,31.3525,27.2453,84.2,13,96,25.32,EG,1615301932
cermik,38.1361,39.4493,55.4,26,75,9.22,TR,1615301933
noyabrsk,63.1994,75.4507,-17.61,87,99,5.97,RU,1615301933
vestmannaeyjar,63.4427,-20.2734,39.2,75,20,8.05,IS,1615301933
timra,62.487,17.3257,27.0,63,90,12.66,SE,1615301934
ahipara,-35.1667,173.1667,58.8,81,79,4.5,NZ,1615301934
boca do acre,-8.7522,-67.3978,76.21,94,99,3.2,BR,1615301934
king city,36.2127,-121.126,42.01,1,69,5.01,US,1615301934
san juan,-31.5375,-68.5364,84.85,32,0,12.95,AR,1615301857
manica,49.0,-1.1667,50.0,57,0,3.44,FR,1615301934
kismayo,-0.3582,42.5454,80.62,77,73,15.84,SO,1615301935
broome,42.2506,-75.833,45.0,70,1,10.36,US,1615301935
jati,24.3539,68.2671,76.08,43,0,13.82,PK,1615301935
marawi,7.9986,124.2928,80.01,76,100,1.01,PH,1615301936
port-cartier,50.0334,-66.8654,26.01,73,90,2.3,CA,1615301936
hofn,64.2539,-15.2082,37.33,93,100,17.83,IS,1615301936
kolpashevo,58.3131,82.9089,13.96,95,100,11.18,RU,1615301937
amos,48.5669,-78.1162,33.8,80,75,10.36,CA,1615301937
giaginskaya,44.8621,40.0719,35.22,87,100,9.73,RU,1615301937
nantucket,41.2835,-70.0995,43.0,93,90,13.8,US,1615301937
saint-pierre,-21.3393,55.4781,82.4,74,20,12.66,RE,1615301938
palauig,15.435,119.9045,78.42,68,0,5.7,PH,1615301938
ubauro,28.1652,69.7289,76.37,19,0,3.58,PK,1615301938
yenagoa,4.9247,6.2642,87.28,69,74,6.67,NG,1615301938
fairbanks,64.8378,-147.7164,15.01,85,1,6.91,US,1615301703
itoman,26.1247,127.6694,68.0,83,40,9.22,JP,1615301939
san ramon,37.7799,-121.978,46.4,66,1,6.91,US,1615301795
dickinson,29.4608,-95.0513,69.01,82,1,10.36,US,1615301939
kavaratti,10.5669,72.642,83.82,67,0,4.41,IN,1615301939
katwijk,52.1942,4.4222,44.01,86,8,5.01,NL,1615301939
golden,39.7555,-105.2211,48.0,29,40,4.61,US,1615301940
ca mau,9.1769,105.15,76.53,79,0,4.47,VN,1615301940
kinston,35.2627,-77.5816,59.0,43,1,8.05,US,1615301940
vao,-22.6667,167.4833,75.29,68,26,10.58,NC,1615301940
cap malheureux,-19.9842,57.6142,79.0,79,42,3.0,MU,1615301941
rovaniemi,66.5,25.7167,14.0,67,20,3.44,FI,1615301718
athabasca,54.7169,-113.2854,23.0,93,100,4.61,CA,1615301941
pastavy,55.1168,26.8326,26.98,83,65,4.25,BY,1615301832
concepcion del oro,24.6333,-101.4167,49.39,75,70,7.99,MX,1615301941
iquitos,-3.7481,-73.2472,77.0,83,75,6.91,PE,1615301941
ambilobe,-13.2,49.05,78.24,86,93,3.56,MG,1615301656
tolaga bay,-38.3667,178.3,58.1,82,46,3.96,NZ,1615301942
bilma,18.6853,12.9164,97.65,7,20,8.39,NE,1615301942
palizada,18.25,-92.0833,73.4,73,20,2.3,MX,1615301942
wokha,26.1,94.2667,54.46,86,95,3.2,IN,1615301943
vostok,46.4856,135.8833,22.24,98,100,7.43,RU,1615301943
ulkan,57.243,107.3223,16.25,92,100,11.52,RU,1615301943
ust-kuyga,70.0167,135.6,-15.84,87,100,7.31,RU,1615301944
bandarbeyla,9.4942,50.8122,78.26,71,0,11.45,SO,1615301944
la ronge,55.1001,-105.2842,-2.2,84,0,3.38,CA,1615301944
beisfjord,68.3751,17.5988,26.6,54,0,11.5,NO,1615301945
satipo,-11.2522,-74.6386,71.98,83,100,0.45,PE,1615301763
san rafael,-34.6177,-68.3301,83.52,33,0,15.64,AR,1615301718
auki,-8.7676,160.7034,77.05,82,54,3.2,SB,1615301945
sao miguel do araguaia,-13.275,-50.1628,79.65,74,56,7.54,BR,1615301945
cserszegtomaj,46.8017,17.221,41.0,48,50,6.91,HU,1615301946
arlit,18.7369,7.3853,102.22,7,0,9.31,NE,1615301946
moindou,-21.6924,165.677,71.6,83,75,2.3,NC,1615301946
shache,38.4167,77.2406,53.11,38,15,2.77,CN,1615301947
half moon bay,37.4636,-122.4286,50.0,87,90,9.22,US,1615301858
oskemen,49.9565,82.6119,24.8,93,75,2.24,KZ,1615301947
sovetskiy,61.3614,63.5842,-4.88,92,92,3.47,RU,1615301947
batemans bay,-35.7167,150.1833,64.0,93,100,1.01,AU,1615301948
salalah,17.0151,54.0924,82.4,61,0,10.36,OM,1615301948
richards bay,-28.783,32.0377,84.79,72,6,12.68,ZA,1615301903
avera,33.194,-82.5271,59.0,50,1,3.44,US,1615301948
saldanha,-33.0117,17.9442,69.8,56,99,18.41,ZA,1615301949
tsuruoka,38.7217,139.8217,43.27,69,85,5.93,JP,1615301949
toucheng,24.8592,121.8233,68.0,88,75,12.66,TW,1615301949
butembo,0.15,29.2833,64.27,76,76,1.83,CD,1615301710
altamira,-3.2033,-52.2064,78.8,89,90,4.61,BR,1615301916
okhotsk,59.3833,143.3,-8.41,87,23,2.06,RU,1615301950
adrar,20.5022,-10.0711,78.3,18,5,16.08,MR,1615301950
erenhot,43.6475,111.9767,37.42,73,100,8.37,CN,1615301950
semporna,4.4818,118.6112,77.0,94,20,2.3,MY,1615301951
pontes e lacerda,-15.2261,-59.3353,83.59,70,48,2.84,BR,1615301951
skibbereen,51.55,-9.2667,46.4,93,90,19.57,IE,1615301951
chicama,-7.8447,-79.1469,73.4,83,40,4.61,PE,1615301952
buraydah,26.326,43.975,80.6,28,40,9.22,SA,1615301925
laguna,38.421,-121.4238,42.8,81,1,3.76,US,1615301952
yantal,56.8471,105.2542,14.77,93,100,11.86,RU,1615301952
kokkola,63.8385,23.1307,18.0,49,0,8.05,FI,1615301953
jiujiang,29.7333,115.9833,54.03,72,48,6.64,CN,1615301953
iralaya,15.0,-83.2333,79.99,80,78,13.22,HN,1615301953
iwaki,37.05,140.8833,53.01,82,99,5.99,JP,1615301953
baltay,52.4652,46.6308,15.49,95,71,8.48,RU,1615301954
koshki,54.2091,50.4677,8.02,96,25,3.02,RU,1615301954
hualmay,-11.0964,-77.6139,74.43,70,97,2.26,PE,1615301954
vilhena,-12.7406,-60.1458,77.0,83,40,5.75,BR,1615301954
pleasanton,37.6624,-121.8747,45.0,81,1,4.0,US,1615301407
killybegs,54.6333,-8.45,48.2,93,75,14.97,IE,1615301954
gizo,-8.103,156.8419,81.73,75,13,3.58,SB,1615301955
saint-louis,16.3333,-15.0,92.05,11,9,14.16,SN,1615301955
shitanjing,39.2342,106.3439,46.67,52,98,8.23,CN,1615301955
mackay,-21.15,149.2,71.6,88,0,3.44,AU,1615301956
skelleftea,64.7507,20.9528,19.0,86,75,8.05,SE,1615301956
konstantinovka,49.6167,127.9833,14.76,92,0,7.67,RU,1615301956
kangaatsiaq,68.3065,-53.4641,10.72,95,57,6.8,GL,1615301956
mareeba,-17.0,145.4333,78.8,78,90,4.61,AU,1615301956
blacksburg,37.2296,-80.4139,54.0,40,1,4.0,US,1615301832
abu dhabi,24.4667,54.3667,82.4,18,0,4.61,AE,1615301754
pahrump,36.2083,-115.9839,45.0,41,0,1.99,US,1615301718
xining,36.6167,101.7667,43.61,55,100,9.64,CN,1615301957
moron,-34.6534,-58.6198,77.0,51,4,3.0,AR,1615301957
yerbogachen,61.2767,108.0108,9.81,91,96,15.12,RU,1615301958
tailai,46.3833,123.4,25.83,81,0,2.57,CN,1615301958
ballina,-28.8667,153.5667,68.0,94,9,5.75,AU,1615301958
calama,-22.4667,-68.9333,68.0,30,0,17.27,CL,1615301958
atbasar,51.8,68.3333,13.33,94,100,7.92,KZ,1615301959
asau,46.4333,26.4,36.0,45,100,4.27,RO,1615301959
ozernovskiy,51.5,156.5167,23.99,94,100,17.72,RU,1615301959
ritchie,-29.038,24.6028,93.2,14,0,17.27,ZA,1615301960
yar-sale,66.8333,70.8333,-20.85,86,98,9.86,RU,1615301960
soyo,-6.1349,12.3689,87.8,70,75,8.05,AO,1615301960
jiexiu,37.0244,111.9125,49.77,51,0,3.51,CN,1615301960
lubango,-14.9172,13.4925,70.92,60,87,4.29,AO,1615301718
buchanan,5.8808,-10.0467,91.4,62,40,11.5,LR,1615301961
kaeo,-35.1,173.7833,57.0,91,51,1.99,NZ,1615301961
srivardhan,18.0333,73.0167,79.74,65,0,8.32,IN,1615301961
college,64.8569,-147.8028,14.0,85,75,4.61,US,1615301962
high level,58.5169,-117.136,10.4,92,90,4.61,CA,1615301821
kennebunk,43.384,-70.5448,45.0,41,75,5.75,US,1615301962
aguadilla,18.4275,-67.1541,84.99,57,1,19.57,PR,1615301962
pekan,3.4836,103.3996,77.0,83,20,1.14,MY,1615301963
de aar,-30.6497,24.0123,80.22,15,47,24.36,ZA,1615301963
kibala,9.1104,18.3463,104.0,24,20,2.3,TD,1615301963
hami,42.8,93.45,47.17,46,0,6.08,CN,1615301964
whitehaven,54.549,-3.5841,43.0,96,100,8.99,GB,1615301964
myanaung,18.2833,95.3167,76.42,41,37,5.93,MM,1615301964
gedinne,49.9804,4.9367,46.0,93,75,6.91,BE,1615301964
christchurch,-43.5333,172.6333,60.01,94,100,2.3,NZ,1615301965
farmington,36.7281,-108.2187,41.0,48,1,10.36,US,1615301720
providencia,28.7167,-111.5833,60.8,44,90,5.97,MX,1615301965
mnogovershinnyy,53.9353,139.9242,9.23,93,100,3.89,RU,1615301965
